sp,Tag,confirm4,confirm8
HOPEOD,53627,y,y
HOPEOD,55547,y,m
HOPEOD,80976,m,m
HOPEOD,69701,m,m
HOPEOD,11203,y,y
HOPEOD,7814,y,m
HOPEOD,53601,m,m
HOPEOD,34548,m,m
POLYVI,12383,y,y
POLYVI,6522,y,m
POLYVI,5832,y,y
POLYVI,14391,y,m
POLYVI,32500,m,m
POLYVI,76338,m,m
POLYVI,73081,m,m
POLYVI,78380,m,m
TETRNU,34513,y,y
TETRNU,50917,y,m
TETRNU,14173,y,y
TETRNU,7663,y,m
TETRNU,27253,m,m
SACCLI,42250,y,y
SACCLI,49889,y,m
SACCLI,11283,y,y
SACCLI,18965,y,m
SACCLI,63250,m,m
SACCLI,70443,m,m
SACCLI,7286,m,m
SACCLI,1632,m,m
DIPTAL,49633,y,y
DIPTAL,55443,y,m
DIPTAL,2052,y,y
DIPTAL,85163,y,m
DIPTAL,72966,m,m
DIPTAL,77999,m,m
DIPTAL,95137,m,m
DIPTAL,81284,m,m
LAGETO,22442,y,y
LAGETO,8241,y,m
LAGETO,16511,y,y
LAGETO,14117,y,m
LAGETO,53098,m,m
LAGETO,4580,m,m
LAGETO,5957,m,m
LAGETO,11074,m,m
VATIHA,47660,y,y
VATIHA,51742,y,m
VATIHA,6081,y,y
VATIHA,28736,y,m
VATIHA,47569,m,m
VATIHA,53789,m,m
VATIHA,73116,m,m
VATIHA,71039,m,m
CROTRO,24632,y,y
CROTRO,8480,y,m
CROTRO,26003,y,y
CROTRO,182471,y,m
